Year,Rank,Country name,Life evaluation (3-year average),Lower whisker,Upper whisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
2022,21,France,6.661,6.588,6.735,1.856,1.433,0.566,0.582,0.083,0.27,1.872
2021,20,France,6.687,6.615,6.758,1.863,1.219,0.808,0.567,0.07,0.266,1.895
2020,22,France,6.69,6.618,6.762,1.421,1.081,0.804,0.536,0.092,0.235,2.521
2019,23,France,6.664,6.59,6.737,1.268,1.459,1.03,0.514,0.113,0.227,2.053
2024,97,Gabon,5.12,4.985,5.256,1.386,1.224,0.387,0.651,0.042,0.086,1.343
2023,95,Gabon,5.106,4.969,5.243,1.403,1.038,0.344,0.516,0.045,0.1,1.66
2022,94,Gabon,5.035,4.894,5.175,1.438,1.021,0.183,0.346,0.036,0.102,1.908
2021,106,Gabon,4.958,4.826,5.091,1.459,0.738,0.396,0.343,0.032,0.099,1.892
2020,113,Gabon,4.852,4.706,4.998,1.037,0.707,0.362,0.424,0.058,0.064,2.201
2019,108,Gabon,4.829,4.711,4.947,0.988,1.106,0.523,0.369,0.052,0.056,1.735
